match_id,league,kickoff_utc,decision_time,home_team_id,away_team_id,total_goals,y_over_2_5,n_train_matches,p_over_2_5_A0_flat,p_over_2_5_A1_halflife_30d,p_over_2_5_A2_halflife_60d,p_over_2_5_A3_halflife_90d,p_over_2_5_A4_halflife_180d,p_over_2_5_A5_halflife_365d,competition
28132,Ligue_1,2024-11-03 14:00:00,2024-11-03 12:00:00,174,177,1,0.0,86,0.5345424985904144,0.5987824803979452,0.5736052229642429,0.5622181746242418,0.5492003133203933,0.5419744435036301,ligue1
28131,Ligue_1,2024-11-03 16:00:00,2024-11-03 14:00:00,275,163,4,1.0,86,0.6701371664853357,0.6077381049092219,0.6439582551460794,0.6538993887966712,0.6626338646204162,0.6665907683507155,ligue1
28133,Ligue_1,2024-11-03 16:00:00,2024-11-03 14:00:00,282,166,1,0.0,86,0.6401272876824409,0.41576206174025004,0.53593955691476,0.5731414784879756,0.6079984169296859,0.6246428231907826,ligue1
28135,Ligue_1,2024-11-03 19:45:00,2024-11-03 17:45:00,168,164,3,1.0,87,0.6392641535399055,0.6915810226328862,0.6664271857874663,0.6577352057727187,0.6487234551643509,0.6439934057547656,ligue1
28146,Ligue_1,2024-11-08 19:45:00,2024-11-08 17:45:00,164,275,4,1.0,90,0.8564095342335455,0.8221981834925316,0.8352655235745462,0.8416760552512167,0.8488107723639493,0.8526216601413862,ligue1
28140,Ligue_1,2024-11-09 16:00:00,2024-11-09 14:00:00,225,171,4,1.0,91,0.575140998853319,0.5405237580398389,0.568355824133075,0.5731604965534126,0.5754481143016583,0.575619020057768,ligue1
28139,Ligue_1,2024-11-09 18:00:00,2024-11-09 16:00:00,210,168,5,1.0,91,0.2118150475297208,0.2503258893005193,0.23864277235550993,0.2314058547017602,0.22243774648125184,0.21725226755257876,ligue1
28142,Ligue_1,2024-11-09 20:00:00,2024-11-09 18:00:00,167,161,6,1.0,92,0.7327215601031649,0.6067815269000841,0.6726573704637102,0.6934674920450802,0.7135232056936924,0.7233673356119958,ligue1
28141,Ligue_1,2024-11-10 14:00:00,2024-11-10 12:00:00,170,160,4,1.0,94,0.39262065386808415,0.22429033267322077,0.3074586589301361,0.33674486277750315,0.3654289427892265,0.37945111569420914,ligue1
28138,Ligue_1,2024-11-10 16:00:00,2024-11-10 14:00:00,163,174,2,0.0,94,0.391821229326117,0.3662771050660325,0.3752957843861169,0.3804114885086328,0.3860623321095182,0.38899629102358513,ligue1
28143,Ligue_1,2024-11-10 16:00:00,2024-11-10 14:00:00,282,177,3,1.0,94,0.5831400892974435,0.40513365193366324,0.5028864602716842,0.5321074432459022,0.5589354426329344,0.571540601749425,ligue1
28144,Ligue_1,2024-11-10 16:00:00,2024-11-10 14:00:00,166,241,4,1.0,94,0.6885389793936337,0.5270412617948256,0.6139793244412146,0.640682810862673,0.6656361956136322,0.6775168342171075,ligue1
28145,Ligue_1,2024-11-10 19:45:00,2024-11-10 17:45:00,178,175,1,0.0,95,0.7746327809301158,0.7628074015077861,0.7816017434278173,0.7825661499181515,0.7803460920416431,0.7779057607758972,ligue1
